1957.,Optical Aberration Coefficients,H. A. Bachdahl,10.1364/JOSA.48.000563
1959.,New Ray Tracing Scheme,P. W. Ford,10.1364/JOSA.50.000528
1962.,General Ray-Tracing Procedure,"G. H. Spencer, M. V. R. K. Murty",10.1364/JOSA.52.000672
1966.,Aspheric Ray Trace,P. W. Ford,10.1364/JOSA.56.000209
